"id","name","passive_skill_no","pow","effect_image","caption","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
1,"帝國戦術",1,2,,"毎ターン開始時、カードを2枚ドローする。|研ぎ澄まされた知略は戦場を意のままに操る。","2013-06-18 06:05:59 UTC","Imperial Tactics","Tactique impériale","a","帝国战术","帝國戰術","a","a","Draw 2 cards at the start of every turn. |The proven intelligent tactics can be utilized to control a battlefield arbitrarily.","Tirer 2 cartes lorsque chaque tour commence.|Il manipule la champ de bataille avec son esprit vif.","a","在每回合开始时抽2张牌。|千锤百炼的智略随心所欲地操纵战场。","在每回合開始時抽2張牌。|千錘百鍊的智略可以隨心所欲的操縱戰場。","a","a"
2,"臥薪嘗胆",2,1,,"防御時、遠・近距離ならば、ダイスダメージを受けてもHPは0にならない。|屈辱を胸にしてなお耐え忍ぶ鋼の意思。","2013-06-18 06:05:59 UTC","The Great Revival","Esprit Vengeur","a","卧薪尝胆","臥薪嚐膽","a","a","In the Defense Phase, your HP will not become zero even when you take Dice Damage in long or short range. |bear humiliation and keep it in mind with iron will.","Lorsque vous êtes en situation de Défense, vous ne subissez aucun dommage en Longue et Courte portée.|Volonté de fer.","a","防御阶段时处于远·近距离的话，受到骰伤HP也不会变成0。|忍受屈辱并牢记于心的钢铁意志。","防禦階段時處於遠·近距離的話，受到骰傷HP也不會變成0。|忍受屈辱並牢記於心的鋼鐵意志。","a","a"
3,"精神の器",3,1,,"毎ターン開始時、手札の特殊カードの枚数が相手と同数以下の場合、特殊カードを1枚奪う。|黒き貴公子に貢物を捧げよ。","2013-07-09 05:31:08 UTC","Spiritual Instrument","Récipient d'esprit","a","精神之器","精神之器","a","a","At the start of each turn, take one special card from your opponent when the number of your special cards is less than or equal to those of your opponent. |Offer a sacrifice to the evil prince.","Prendre 1 carte spéciale de votre adversaire à chaque commencement de tour.|Offrande au Prince Noir.","a","每回合开始时、手中的特殊卡数量少于或等于对手、夺取对手1张特殊卡。|向黑暗贵公子献上祭品吧。","每回合開始時、手中的特殊卡數量少於或等於對手、奪取對手1張特殊卡。|向黑暗貴公子獻上祭品吧。","a","a"
4,"剣聖",4,0,,"近距離の場合、攻撃時に相手の全ての必殺技を無効化する。|極めし剣の煌きは、何者をも凌駕する。","2013-07-09 05:32:09 UTC","The Holy Sword","épée sainte","a","剑圣","劍聖","a","a","For short range ATK, negate the effect of your opponent's all special moves. |A sharp blade can dominate everything.","En situation de courte portée, votre adversaire ne peut plus attaquer.|L'épée scintillante défait tout adversaire.","a","近距离攻击时，无效化对手所有的必杀技。|凛冽的剑芒足以凌驾一切。","近距離攻擊時，無效對手所有的必殺技。|凜冽的劍芒足以凌駕一切。","a","a"
5,"千古不朽",5,20,,"致命的なダメージを受けない。スタン状態にならない。詛呪の効果を軽減する。|大いなる存在に、その刃は届かない。","2013-07-09 05:32:09 UTC","The Immortal","Impérissable","a","千古不朽","千古不朽","a","a","Will not take fatal damage. Could not cause the Stun effect. Reduce the curse effect. |A great and invulnerable existence.","Vous ne subissez aucun dommage fatal. Vous ne vous évanouissez pas. Atténuez le [maléfice] dont vous souffrez.|Ce sabre ne peut transpercer la Vie.","a","不会受到致命的伤害。免疫晕眩。减轻诅咒效果。|刀枪不入的伟大存在。","不會受到致命的傷害。無法造成暈眩。減輕詛咒效果|偉大的存在，刀刃不侵。","a","a"
6,"レイジ",6,3,,"ダメージを受けた上位3キャラに対して二倍の攻撃力で反撃する。|","2013-10-16 16:55:00 +0900","Rage","Rage","a","愤怒","憤怒","a","a","With double ATK, fight back the top three characters who can deal the largest amount of damage.","Ripostez avec le double de puissance aux attaques des trois caractères blessés de votre adversaire.","a","以两倍的攻击力反击伤害输出前三名的角色。|","以兩倍的攻擊力反擊傷害輸出前三名的角色。|","a","a"
7,"創造主",7,10,"cutinmon099_00_psv00.swf","致命的なダメージを受けない。スタン状態にならない。詛呪の効果を軽減する。|世界を創造した者。","2013-10-16 16:55:00 +0900","The Creator","Créateur","a","造物主","創造主","a","a","Will not take fatal damage. Will not be stunned. Reduce the curse effect. |The Creator who created the world.","Vous ne subissez pas de dégât fatal. Vous ne vous évanouissez pas. Atténuez le [maléfice] dont vous souffrez.|Créateur du monde.",,"不会受到致命的伤害。免疫晕眩。减轻诅咒效果。|创造世界的造物主。","不會受到致命的傷害。不會暈眩。減輕詛咒效果|創造世界的造物主。",,
8,"バウンスバック",8,2,,"防御失敗時にダメージ数+2枚だけカードをドローする。|相手の攻撃さえも自分の攻撃の手段とする。","2013-10-16 16:55:00 +0900","Bounce Back","Bounce back",,"反弹","Bounce Back",,,"On a failed defense, draw a card for each point of damage you take, and 2 more cards. |Transform your opponent's attack into your attack means.","Lorsque votre défense n'a pas fonctionné, tirez des cartes (nombre de dommages subis +2).|Utilisez l'attaque de votre adversaire.",,"防御失败时抽取与伤害值+2等量的牌。|连对手的攻击都可化为自己的攻击手段。","防禦失敗時抽取與傷害值+2等量的牌。|連對手的攻擊都可化為自己的攻擊手段。",,
9,"リンケージ",9,30,,"致命的なダメージを受けない。スタン状態にならない。詛呪の効果を軽減する。|自我を共有する無数の魂が短時間で入れ替わる。","2013-10-16 16:55:00 +0900","Linkage","Linkage",,"连动","連動",,,"Will not take fatal damage. Will not be stunned. Reduce the curse effect. |Countless souls with its own will alternate in a short time.","Vous ne subissez pas de dégât fatal. Vous ne vous évanouissez pas. Atténuez le [maléfice] dont vous souffrez.|Les innombrables âmes en vous sont remplacées en un court laps de temps.",,"不会受到致命的伤害。免疫晕眩。减轻诅咒的效果。|共有自我的无数灵魂在短时间之内交替。","不會受到致命的傷害。不會暈眩。減輕詛咒的效果。|共有自我的無數靈魂在短時間之內交替。",,
10,"リベレーション",10,0,,"自身の封印状態を確率的に解除する。|押さえ込むことの出来ぬ獰猛な魂。",,"Revelation","Libération",,"解放","解放",,,"Your sealed status may be removed. |A fierce soul that cannot be suppressed.","Annuler votre état [Sceau].|Personne ne peut contrôler cet esprit féroce.",,"以一定的几率解除自己封印状态。|无法抑制的凶猛灵魂。","機率性解除自己封印狀態。|無法抑制的兇猛靈魂。",,
11,"ハーデン",11,0,,"物理的なダメージを4分の1(切り捨て)に軽減するが...|体表の組成を変化させ、強固な外殻を形成する。",,"Harden","Harden",,"硬化","硬化",,,"Reduce the physical damage to one-fourth (discarding the reminder), but... |the surface of the transformed body forms a solid shell.","Atténuer un quart (arrondissez au chiffre inférieur) le nombre de vos dégâts.|Change la composition de votre corps et lui confère une puissance enveloppe.",,"将物理伤害减轻至1/4(尾数舍去)，不过……|变化身体表面的组成结构，形成坚固的外壳。","將物理傷害減輕至4分之1(尾數捨去)，但...|變化身體表面的組成，形成堅固的外殼。",,
12,"アブソープ",12,0,,"相手の特殊攻撃を吸い取り、自身のHPを最大5まで回復する。|額の水晶体にエネルギー取り込み自らのものとする。",,"Absorb","Absorption",,"吸收","吸收",,,"Absorb your opponent's special attack and recover your HP by no more than 5 points. |The crystal on the forehead absorbs the energy for you to use.","En aspirant l'attaque spéciale de votre adversaire, régénérez au maximum 5 de vos HP.|Le cristal brillant au front aspire l'énergie.",,"吸收对手的特殊攻击，回复自身最多5点HP。|额头上的水晶体将能量吸收转化为自己所用","吸收對手的特殊攻擊，回復自身最多5點HP。|額頭上的水晶體將能量吸收轉化為自己所用",,
13,"幻月",13,2,,"防御時、防御カード1枚毎に、現在距離ｘ2を防御力に加算する。|幻影の月が相手を惑わす。",,"Moon dog","Parasélène",,"幻月","幻月",,,"During defense, one defense card additionally raises your DEF by twice your current range. |Glamor your opponent with the Moon of Phantom.","Ajouter (distanceX2) de puissance à chacune de vos cartes de défense lorsque vous êtes en phase de défense.|La Lune aux Illusions trompe les sentiments.",,"防御时，每一张防御卡都额外增加现在距离ｘ2的防御力。|以幻影之月迷惑对手。","防禦時，每一張防禦卡，都額外增加現在距離ｘ2的防禦力。|以幻影之月迷惑對手。",,
14,"跳躍",14,0,,"防御時、死亡しても復活することがある。その場合、手札の半分を破棄し、破棄した枚数だけドローする|運命は航海士の意のままに選ばれる。",,"Jump","Bondir",,"跳跃","跳躍",,,"When defense, it is possible that you would resurrect even if you were dead. Discard half your card during resurrection and draw the same number of cards. |A navigator can arbitrarily choose his fate.","Lorsque vous êtes en phase de défense et que vous mourrez, vous avez la possibilité de revenir à la vie. En ce cas, détruisez la moitié de votre pioche et tirez le même nombre de cartes.|Le navigateur choisit le destin qu'il souhaite.",,"防御时，就算死亡也有机会复活。复活时将一半手牌舍弃，接着抽取等量的牌。|航海家能随心所欲选择命运。","防禦時，就算死亡也有機會可以復活。復活時將一半手牌捨棄，接著抽取等量的牌。|航海士能隨心所欲選擇命運。",,
15,"プロテクティブエイム",15,0,,"防御時、銃カードを盾カードとして使用出来る。その場合、防御力に3を加算する|正確な狙撃によって相手の攻撃を弱体化させる",,"Final protective fire","Protective Aim",,"防护性瞄准","防護性瞄準",,,"When defense, a gun card can be used as a shield card. At this time, DEF additionally raises by 3. |Sharp sniping can reduce your opponent's attack.","Pendant la phase de défense, possibilité d'utiliser une carte fusil comme carte de défense. Auquel cas, votre capacité de défense augmente de 3. | Affaiblir l'adversaire grâce à la précision d'un sniper.",,"防御时，可以将枪卡当作盾卡使用。此时，防御力额外增加3。|以精确的狙击弱化对手的攻击","防禦時，可以將槍卡當作盾卡使用。此時，防禦力額外增加3。|以精確的狙擊弱化對手的攻擊",,
16,"C・ミステイク",16,2,,"防御時、HPが0以下になったとき、「不死Ⅱ」「自壊」「ATK+7」(2ターン),再使用される場合、発動率が減少する|悪意の人形の最後の力",,"Category Mistake","C Mystic",,"范畴错误","範疇錯誤",,,"When defense, you receive [Immortal II], [Disintegration], and [ATK+7] (2 turns) in the case that your HP went to 0 or below. When this effect is used again, the chances of success will reduce |The final power of a wicked doll","Pendant la phase de défense, lorsque votre HP va en deçà de 0, « Immortel II » « Autodestruction » « ATK+7 » (2 tours), lorsque vous l'utilisez à nouveau, le taux de déclenchement est plus faible. | Dernières forces d'une poupée malfaisante.",,"防御时，HP变成0以下的场合，自身得到“不死Ⅱ”“自坏”“ATK+7”(2回合)。当这个效果再次被使用时，发动成功的机率降低|恶意人偶的最后力量","防禦時，HP變成0以下的場合，自身得到「不死Ⅱ」「自壞」「ATK+7」(2回合)。當這個效果再次被使用時，發動成功的機率降低|惡意人偶的最後力量",,
17,"スライムカバー",17,0,,"「毒」「麻痺」「恐怖」「封印」状態にかかる確率が低い|体表を覆う粘液は、別の生物であるかのように流動している",,"Slime Cover","Slime Cover",,"史莱姆外皮","史萊姆外皮",,,"The chance of being [poisoned], [paralyzed], [afraid], or [sealed] us very low. |Sticky liquids attached to the body flow like other creatures.","Il vous est difficile d'être touché par les attaques [Venin] [Paralysie] [Sceau]. |Le liquide qui recouvre votre corps est comme un être vivant indépendant, bougeant comme il le souhaite.",,"受到“毒”“麻痹”“恐怖”“封印”的机率低下|附着在体外的黏液，就像别的生物般流动着","被施加「毒」「麻痺」「恐怖」「封印」的機率很低|附著在體外的黏液，就像別的生物般流動著",,
18,"地中潜行",18,20,,"DEF+20。自身の攻撃フェイズ中に受けるダメージが7倍になる。一定ダメージを受けることで解除される|地表という盾による堅守",,"Writhe in this subterranean nest","Souterrains insidieux",,"地下潜行","潛伏地中",,,"DEF+20.In your Attack Phase, the damage you take become 7 times. It can be cancelled when you take a specified amount of damage. |Use a earth-like shield for defense purpose.","DEF+20。Les dommages que vous infligez durant votre phase d'attaque sont multipliés par 7. Si votre adversaire vous attribue un dommage, il sera libéré de ce sort. |Protection par un mur de terre.",,"DEF+20。在自己的攻击阶段中所受到的伤害会变成7倍。受到一定数值以上的伤害后解除效果|以地表为盾的强力防御","DEF+20。在自己的攻擊階段中所受到的傷害會變成７倍。受到一定數值以上的傷害後解除|以地表為盾的強力防禦",,
19,"濁濫の果て",19,7,,"ATK+7。自身が受けるダイスダメージが2倍になる|轟く怒号は新たな災厄を呼び寄せる",,"Corrupt results","Tréfonds du Chaos",,"浊滥的尽头","濁濫的盡頭",,,"ATK+7.The dice damage you take becomes 2 times |Roaring sounds provoke a new disaster.","ATK+7。Vos dommages sont multipliés par 2. |Le tonnerre grondant appelle une nouvelle catastrophe.",,"ATK+7。自己受到的骰伤会变成2倍|回响的怒吼声将招来新的灾厄","ATK+7。自己受到的骰傷會變成2倍|迴響的怒吼聲將招來新的災厄",,
20,"千古不朽",5,10,,"致命的なダメージを受けない。スタン状態にならない。詛呪の効果を軽減する。|大いなる存在に、その刃は届かない",,"The Immortal","Impérissable","a","千古不朽","千古不朽","a","a","Will not take fatal damage. Could not cause the Stun effect. Reduce the curse effect. |A great and invulnerable existence.","Vous ne subissez aucun dommage mortel. Vous n'êtes pas étourdi. Atténue les effets des sorts. |Aucune épée ne peut vous atteindre.","a","不会受到致命的伤害。免疫晕眩。减轻诅咒效果|刀枪不入的伟大存在。","不會受到致命的傷害。無法造成暈眩。減輕詛咒效果|偉大的存在，刀槍不侵。","a","a"
21,"リトルプリンセス",20,0,,"20%の確率で受けるダメージが0になる。HPが5以上のとき発動|彗星の輝きをのせて",,"Little Princess","Little Princess",,"小公主","小公主",,,"There is a 20% chance to receive no damage. It will be activated only if your HP is 5 or above|Ride a shining comet.","Les 20 % de chance de subir un dommage tombent à 0. S'active lorsque vous avez plus de 5 d'HP. | Emmenant avec elle l'éclat de la comète.",,"20%机率使受到的伤害为0。只会在HP5以上时发动|乘着彗星的光辉","20%機率受到的傷害為0。只會在HP5以上時發動|乘著彗星的光輝",,
22,"深紅の魔女",21,0,,"20%の確率で与えるダメージが2倍になる。HPが4以下のとき発動|その一つ一つの前から、祈りを焼き払う",,"Scarlet Sorceress","Sorcière Pourpre",,"深红的魔女","深紅的魔女",,,"There is a 20% chance to double the damage you deal. It will be triggered only if your HP is 4 or less|Burn out what you pray for before you pray.","Les 20 % de chance d'infliger des dommages sont multipliés par 2. S'active lorsque vous avez moins de 4HP. | Adresser une prière à chacun.",,"20%机率将造成的伤害变成2倍。只会在HP4以下时发动|在祈求之前，就将其所祈求的一切燃烧殆尽。","20%機率將造成的傷害變成2倍。只會在HP4以下時發動|在祈求之前，就將其所祈求的一切燃燒殆盡。",,
23,"聖堂騎士の大盾",22,2,,"防御時、受けるダメージを2軽減する|何者も寄せ付けない聖なる大盾",,"GreatShield of Templar","Bouclier géant des Soldats Bénis",,"圣堂骑士的大盾","聖堂騎士的大盾",,,"On a defense, the damage you receive is reduced by 2.|A holy great shield that allows no one's approach.","en phase de défense, vous diminuez vos dommages de 2. |Bouclier sacré qui éloigne tout ennemi. ",,"防御时，受到的伤害减少2|不论是谁都无法靠近的神圣大盾","防禦時，受到的戰鬥傷害減少2|不論是誰都無法靠近的神聖大盾",,
24,"C・ミステイク",16,2,,"防御時、HPが0以下になったとき、「不死Ⅱ」「自壊」「ATK+7」(2ターン),再使用される場合、発動率が減少する|呪われた身体は死を覆す",,"Category Mistake","C Mystic",,"范畴错误","範疇錯誤",,,"While defending, in situations when HP falls below 0, receives [invulnerable],[disintegration],[ATK+7] (2 turns). When this effect is used again, successful triggering chance is reduced. |The cursed body subverts death","Pendant la phase de défense, lorsque votre HP va en deçà de 0, « Immortel II » « Autodestruction » « ATK+7 » (2 tours), lorsque vous l'utilisez à nouveau, le taux de déclenchement est plus faible. |corps maudit qui renverse la Mort. ",,"防御时，HP变成0以下的场合，自身得到“不死Ⅱ”“自坏”“ATK+7”(2回合)。当这个效果再次被使用时，发动成功的机率降低|受诅咒的身体颠覆死亡","防禦時，HP變成0以下的場合，自身得到「不死Ⅱ」「自壞」「ATK+7」(2回合)。當這個效果再次被使用時，發動成功的機率降低|受詛咒的身體顛覆死亡",,
25,"溟海符",23,3,,"__POW__の倍数ターン終了時、HPを1回復する|",,"Abyssal Sea Talisman","Étoffe marine",,"溟海符","溟海符",,,"After the __POW__ multiplier turn is over, restores 1HP.","A la fin de tous les tours multiples de __POW__, retrouvez 1HP. ",,"在__POW__的倍数回合结束时，回复1点HP|","在__POW__的倍數回合結束時，回復1點HP|",,
26,"海魔の心臓",24,0,,"「麻痺」「バーサーク」「封印」状態にかかる確率が低い|喰らった生命を取り込む魔の心臓",,"Heart of the Sea Monster","Cœur de monstre marin",,"海魔的心脏","海魔的心臟",,,"Reduce the chance to be inflicted with [paralyze],[berserk] and [seal]. |A monster's heart that takes the life of whatever it consumes as its own.","Vous avez moins de chance de souffrir de ‘Paralysie' ‘Berserk' et ‘Sceau'. | Coeur monstrueux qui permet d'incorporer les vies que vous avez dévorées.",,"受到“麻痹”“狂战士”“封印”状态的机率低下|将吃下的生命融为己物的魔物心脏。","變成「麻痺」「狂戰士」「封印」狀態的機率降低|將吃下的生命融為己物的魔物心臟。",,
27,"立ち込める夜霧",25,20,,"防御時、ダイスダメージの上限を__POW__にする。移動フェイズに受けるダメージが2倍になる|紅い花の咲く音だけが標となる",,"Shrouding Night Fog","Embrassade embrumée",,"弥漫的夜雾","籠罩的夜霧",,,"When defending, the maximum dice damage becomes __POW__.Damage received x2 during Move Phase. |Only the sound of safflower blooming would become a target.","Après votre phase de défense, les dommages infligés par vos dés sont augmentés de __POW__. Les dommages infligés durant la phase de déplacement sont doublés. | La mélodie aux fleurs pourpres est le seul indice visible.",,"防御时，骰伤的上限变成__POW__。移动阶段受到的伤害变成2倍|只有红花盛开的声音会成为目标。","防禦時,骰傷的上限變成__POW__。移動階段受到的傷害變成2倍|只有紅花盛開的聲音會成為目標。",,
28,"2つの身体",26,0,,"防御時、攻撃値が上回った数値分のダメージ÷2(切り捨て)を対戦パーティの誰かに与える|他者の身体を自分の身代わりにする",,"Body Double","Deux Corps",,"两个身体","兩個身體",,,"When defending, randomly inflict back half exceeding damage value (round figure) |Using another's body as your double.","En phase de défense, lorsque l'attaque excède votre défense, divisez les dommages par deux et attribuez le dommage à l'un de vos adversaires. | Utilisez le corps de l'adversaire comme substitut.",,"防御时，给予对战队伍随机一人所超过的攻击值÷2(尾数舍去)的伤害|把他人的身体当成自己的替身。","防禦時,給予對戰隊伍隨機一人所超過的攻擊值÷2(尾數捨去)的傷害|把他人的身體當成自己的替身。",,
29,"機智",27,1,,"移動力+1, HPが4以下のとき、移動イベントカードを2枚入手する|自らの感覚を研ぎ澄まし、戦闘を先読みする",,"Wit None","Esprit",,"机智","機智",,,"MOV+1. When HP is below 4, obtain 2 Movement Event Cards. |Sharpening your own senses to gain an insight in battle.","Capacité de déplacement +1, lorsque votre HP est inférieur à 4, vous obtenez deux cartes événement. | Aiguisez vos sens et prédisez l'avenir de la bataille. ",,"移动力+1，HP在4以下时，得到2张移动事件卡|藉由锐化自己的感觉先了解战斗情势。","移動力+1, HP在4以下時,得到2張移動事件卡|藉由銳化自己的感覺先了解戰鬥情勢。",,
