"lot_kind","article_kind","article_id","order","rarity","visible","image_url","description","num"
1,0,7,517,5,0,,"7 ホワイトヒース5 *4",4
1,0,12,516,5,0,,"12 超刻の砂時計 *4",4
1,0,10,515,5,0,,"10 複製チケット",1
1,0,3,514,5,0,,"3 魔女の秘薬 *3",3
1,0,8,513,5,0,,"8 スキップスター *3",3
1,0,21,512,5,0,,"21 モーフィアスの扉",1
1,0,27,511,5,0,,"27 人形の日記帳",1
1,0,37,510,5,0,,"37 神秘のクローゼット",1
1,4,303,509,5,0,,"303 マルセウス L3",1
1,4,323,508,5,0,,"323 リュカ L3",1
1,4,333,507,5,0,,"333 ステイシア L3",1
1,4,343,506,5,0,,"343 ヴォランド L3",1
1,4,353,505,5,0,,"353 C.C. L3",1
1,4,363,504,5,0,,"363 コッブ L3",1
1,4,373,503,5,0,,"373 イヴリン L3",1
1,4,393,502,5,0,,"393 カレンベルク L3",1
1,4,403,501,5,0,,"403 ネネム L3",1
1,4,413,500,5,0,,"413 コンラッド L3",1
1,4,723,411,4,0,,"723 ベロニカ L3",1
1,4,733,410,4,0,,"733 リカルド L3",1
1,4,743,409,4,0,,"743 マリネラ L3",1
1,4,753,408,4,0,,"753 モーガン L3",1
1,4,763,407,4,0,,"763 ジュディス L3",1
1,4,423,406,4,0,,"423 ビアギッテ L3",1
1,4,463,405,4,0,,"463 ルディア L3",1
1,4,473,404,4,0,,"473 ヴィルヘルム L3",1
1,4,483,403,4,0,,"483 メリー L3",1
1,4,493,402,4,0,,"493 ギュスターヴ L3",1
1,4,503,401,4,0,,"503 ユーリカ L3",1
1,4,513,400,4,0,,"513 リンナエウス L3",1
1,1,45,304,3,0,,"45 アメジスト・ドレス",1
1,1,46,303,3,0,,"46 ブルー・ドレス",1
1,1,47,302,3,0,,"47 ルビー・ドレス",1
1,2,6,301,3,0,,"6 剣6カード",1
1,2,14,300,3,0,,"14 銃6カード",1
1,4,523,201,2,0,,"523 ナディーン L3",1
1,4,2061,200,2,0,,"2061 ジェッド RE",1
1,4,586,102,1,0,,"586 シラーリー R1",1
1,4,186,101,1,0,,"186 ロッソ R1",1
1,4,397,100,1,0,,"397 カレンベルク R2",1
0,1,749,507,5,0,,"749 ジェミーの手提げ人形",1
0,1,460,506,5,0,,"460 メリーの手提げ人形",1
0,1,754,505,5,0,,"754 セルファースの手提げ人形",1
0,1,427,504,5,0,,"427 ステイシアの頭のせ人形",1
0,1,701,503,5,0,,"701 ジェミーの頭のせ人形",1
0,0,3,502,5,0,,"3 魔女の秘薬",1
0,0,24,501,5,0,,"24 妖魔のコンパス",1
0,0,8,500,5,0,,"8 スキップスター",1
0,1,48,413,4,0,,"48 ヘアリボン",1
0,1,53,412,4,0,,"53 マリン・リボン",1
0,1,54,411,4,0,,"54 オブシディアン・リボン",1
0,0,7,410,4,0,,"7 ホワイトヒース5 *2",2
0,4,181,409,4,0,,"181 ロッソ L1",1
0,4,191,408,4,0,,"191 エイダ L1",1
0,4,211,407,4,0,,"211 サルガド L1",1
0,4,221,406,4,0,,"221 レッドグレイヴ L1",1
0,4,231,405,4,0,,"231 リーズ L1",1
0,4,251,404,4,0,,"251 ウォーケン L1",1
0,4,261,403,4,0,,"261 フロレンス L1",1
0,4,271,402,4,0,,"271 パルモ L1",1
0,4,281,401,4,0,,"281 アスラ L1",1
0,4,291,400,4,0,,"291 ブロウニング L1",1
0,0,27,319,3,0,,"27 人形の日記帳",1
0,0,50,318,3,0,,"50 小さなクローゼット",1
0,0,4,317,3,0,,"4 ラッキークローバー *2",2
0,0,12,316,3,0,,"12 超刻の砂時計 *2",2
0,3,11,315,3,0,,"11 カースドナイフ",1
0,3,12,314,3,0,,"12 カースドチップ",1
0,3,13,313,3,0,,"13 カースドリング",1
0,4,721,312,3,0,,"721 ベロニカ L1",1
0,4,731,311,3,0,,"731 リカルド L1",1
0,4,741,310,3,0,,"741 マリネラ L1",1
0,4,751,309,3,0,,"751 モーガン L1",1
0,4,761,308,3,0,,"761 ジュディス L1",1
0,4,421,307,3,0,,"421 ビアギッテ L1",1
0,4,461,306,3,0,,"461 ルディア L1",1
0,4,471,305,3,0,,"471 ヴィルヘルム L1",1
0,4,481,304,3,0,,"481 メリー L1",1
0,4,491,303,3,0,,"491 ギュスターヴ L1",1
0,4,501,302,3,0,,"501 ユーリカ L1",1
0,4,511,301,3,0,,"511 リンナエウス L1",1
0,4,521,300,3,0,,"521 ナディーン L1",1
0,2,5,201,2,0,,"5 剣5カード",1
0,2,13,200,2,0,,"13 銃5カード",1
0,3,17,102,1,0,,"17 黒の銃剣",1
0,3,19,101,1,0,,"19 黒の近装",1
0,3,21,100,1,0,,"21 黒の遠装",1
2,0,42,505,5,0,,"42 魔女のクローゼット",1
2,0,7,504,5,0,,"7 ホワイトヒース5 *7",7
2,0,10,503,5,0,,"10 複製チケット",1
2,0,3,502,5,0,,"3 魔女の秘薬 *5",5
2,0,8,501,5,0,,"8 スキップスター *5",5
2,0,12,500,5,0,,"12 超刻の砂時計 *7",7
2,3,44,419,4,0,,"44 時空の紐",1
2,3,47,418,4,0,,"47 デリンジャー",1
2,3,50,417,4,0,,"50 石化の仮面",1
2,3,53,416,4,0,,"53 白銀の剣",1
2,3,56,415,4,0,,"56 クリスナイフ",1
2,3,122,414,4,0,,"122 ソウルブリンガー",1
2,3,125,413,4,0,,"125 機械仕掛けの心臓",1
2,3,128,412,4,0,,"128 大地の銅貨",1
2,3,131,411,4,0,,"131 レーザーアイ",1
2,3,134,410,4,0,,"134 ヴィブロナイフ",1
2,4,326,409,4,0,,"326 リュカ R1",1
2,4,336,408,4,0,,"336 ステイシア R1",1
2,4,346,407,4,0,,"346 ヴォランド R1",1
2,4,356,406,4,0,,"356 C.C. R1",1
2,4,366,405,4,0,,"366 コッブ R1",1
2,4,566,404,4,0,,"566 ノイクローム R1",1
2,4,576,403,4,0,,"576 イデリハ R1",1
2,4,586,402,4,0,,"586 シラーリー R1",1
2,4,596,401,4,0,,"596 クロヴィス R1",1
2,4,606,400,4,0,,"606 アリステリア R1",1
2,2,66,306,3,0,,"66 剣3・盾1カード",1
2,2,67,305,3,0,,"67 剣4・盾2カード",1
2,2,68,304,3,0,,"68 剣5・盾3カード",1
2,2,69,303,3,0,,"69 剣3・特殊1カード",1
2,2,70,302,3,0,,"70 剣4・特殊2カード",1
2,2,71,301,3,0,,"71 剣5・特殊3カード",1
2,4,525,300,3,0,,"525 ナディーン L5",1
2,4,2061,200,2,0,,"2061 ジェッド RE",1
2,2,7,104,1,0,,"7 剣7カード",1
2,2,15,103,1,0,,"15 銃7カード",1
2,4,358,102,1,0,,"358 C.C. R3",1
2,4,128,101,1,0,,"128 ベルンハルト R3",1
2,4,309,100,1,0,,"309 マルセウス R4",1
