"id","kind","cond","items","prerequisite","exclusion","loop","caption","success_cond","explanation","event_start_at","event_end_at","caption_kr","explanation_kr"
123,4,123,"1/10011/1/0",0,,0,"「小人の大宴」(10point)クエストを10回クリア",0,,"2012-05-16 04:00:00 UTC","2012-05-30 03:00:00 UTC","[난쟁이들의 대연회] (10point) 퀘스트를 10회 완료하기!",
124,4,124,"2/114/1/0",0,,0,"Lv3ブロウニングを入手する",293,,"2012-05-30 04:00:00 UTC","2012-06-13 03:00:00 UTC","3레벨의 [브라우닝] 획득하기!",
125,4,125,"4/165/1+1/10006/1/0",0,130,0,"人ならぬ少女を3回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[사람이 아닌 소녀] 3회 완료하기!",
126,4,126,"4/166/1+1/10007/1/0",125,,0,"工学師の男を8回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[공학사 남자] 8회 완료하기!",
127,4,127,"4/167/1+1/10008/1/0",126,,0,"人ならぬ男を15回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[사람이 아닌 남자] 15회 완료하기!",
128,4,128,"2/62/1/2+1/10010/1/0",127,,0,"工学師の女を30回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[공학사 여자] 30회 완료하기!",
129,4,129,"2/61/1/2+3/39/1/0",128,,0,"工学師の男を50回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[공학사 남자] 50회 완료하기!",
130,4,130,"4/162/1+1/10006/1/0",0,125,0,"工学師の女を3回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[공학사 여자] 3회 완료하기!",
131,4,131,"4/163/1+1/10007/1/0",130,,0,"人ならぬ男を8回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[사람이 아닌 남자] 8회 완료하기!",
132,4,132,"4/164/1+1/10008/1/0",131,,0,"工学師の男を15回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[공학사 남자] 15회 완료하기!",
133,4,133,"2/61/1/2+1/10009/1/0",132,,0,"人ならぬ少女を30回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[사람이 아닌 소녀] 30회 완료하기!",
134,4,134,"2/62/1/2+3/39/1/0",133,,0,"人ならぬ男を50回クリア",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","[사람이 아닌 남자] 50회 완료하기!",
135,4,135,"4/168/1+3/51/1/0",0,,0,"デュエルを100回行う",0,,"2012-06-06 04:00:00 UTC","2012-06-20 03:00:00 UTC","듀얼 [100회]진행하기!",
136,4,136,"4/169/1+4/170/1",35,,0,"暗黒塔の守護者を倒す",0,"「暗黒塔」をクリアする","2012-06-20 04:00:00 UTC",,"[암흑탑의 수호자] 퇴치하기!","[암흑의 탑]을 클리어 하기"
137,4,137,"3/39/1/0",0,,0,"暗黒塔の守護者を入手する",0,,"2012-06-20 04:00:00 UTC","2012-07-04 03:00:00 UTC","[암흑탑의 수호자] 획득하기!",
138,4,138,"1/10006/1/0",0,,0,"アレクサンドルで10回対戦する",0,,"2012-06-27 04:00:00 UTC","2012-07-11 04:00:00 UTC","코스트 채널에서 [10회] 대전하기!",
139,4,139,"1/10007/1/0",138,,0,"アレクサンドルで20回対戦する",0,,"2012-06-27 04:00:00 UTC","2012-07-11 04:00:00 UTC","코스트 채널에서 [20회] 대전하기!",
140,4,140,"1/10008/1/0",139,,0,"アレクサンドルで30回対戦する",0,,"2012-06-27 04:00:00 UTC","2012-07-11 04:00:00 UTC","코스트 채널에서 [30회] 대전하기!",
141,4,141,"2/117/1/0",0,,0,"Lv3マルセウスを入手する",303,,"2012-07-04 04:00:00 UTC","2012-07-18 03:00:00 UTC","3레벨의 [마르세우스] 획득하기!",
142,4,142,"3/38/1+2/6/1/2",0,,0,"アコライトクエストを40回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","어콜라이트 퀘스트 [40회] 완료하기!",
143,4,143,"2/120/1/0+2/14/1/2",142,,0,"アコライトクエストを60回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","어콜라이트 퀘스트 [60회] 완료하기!",
144,4,144,"4/171/1+1/10006/1/0",0,150,0,"ブラウクエストを4回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","브라우 퀘스트 [4회] 완료하기!",
145,4,145,"4/172/1+1/10007/1/0",144,,0,"ブラウクエストを7回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","브라우 퀘스트 [7회] 완료하기!",
146,4,146,"4/173/1+1/10008/1/0",145,,0,"ブラウクエストを9回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","브라우 퀘스트 [9회] 완료하기!",
147,4,147,"4/174/1+1/10009/1/0",146,,0,"鞭使いを15回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","채찍를 다루는 자 [15회] 완료하기!",
148,4,148,"4/175/1+1/10010/1/0",147,,0,"檻の獣を20回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","우리의 짐승 [20회] 완료하기!",
149,4,149,"4/176/1+3/39/1/0",148,,0,"廃棄場を25回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","폐기장 [25회] 완료하기!",
150,4,150,"4/174/1+1/10006/1/0",0,144,0,"ルートクエストを4回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","루드 퀘스트 [4회] 완료하기!",
151,4,151,"4/175/1+1/10007/1/0",150,,0,"ルートクエストを7回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","루드 퀘스트 [7회] 완료하기!",
152,4,152,"4/176/1+1/10008/1/0",151,,0,"ルートクエストを9回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","루드 퀘스트 [9회] 완료하기!",
153,4,153,"4/171/1+1/10009/1/0",152,,0,"手品師を15回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","마술사 [15회] 완료하기!",
154,4,154,"4/172/1+1/10010/1/0",153,,0,"訪問者を20回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","방문자 [20회] 완료하기!",
155,4,155,"4/173/1+3/39/1/0",154,,0,"待機室を25回クリア",0,,"2012-07-18 04:00:00 UTC","2012-08-01 03:00:00 UTC","대기실 [25회] 완료하기!",
156,4,156,"2/123/1/0",0,,0,"Lv3リュカを入手する",323,,"2012-08-01 04:00:00 UTC","2012-08-15 03:00:00 UTC","3레벨의 [루카] 획득하기!",
157,4,157,"3/2/1/0",0,,0,"イベントクエストを15回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","이벤트 퀘스트를 [15회] 완료하기!",
158,4,158,"3/38/1/0",157,,0,"イベントクエストを35回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","이벤트 퀘스트를 [35회] 완료하기!",
159,4,159,"3/21/1/0+4/180/1",158,,0,"イベントクエストを50回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","이벤트 퀘스트를 [50회] 완료하기!",
160,4,160,"4/177/1+1/10009/1/0",0,165,0,"異形の爪を4回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","이형의 손톱 [4회] 완료하기!",
161,4,161,"4/178/1+1/10010/1/0",160,,0,"忍び寄る髭を7回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","살며시 다가오는 수염 [7회] 완료하기!",
162,4,162,"4/179/1+1/20012/1/0",161,,0,"異形の爪を9回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","이형의 손톱 [9회] 완료하기!",
163,4,163,"3/27/1/0+1/10008/1/0",162,,0,"細く長い尾を12回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","가늘고 긴 꼬리 [12회] 완료하기!",
164,4,164,"3/39/1/0+1/20013/1/0",163,,0,"細く長い尾を18回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","가늘고 긴 꼬리 [18회] 완료하기!",
165,4,165,"4/177/1+1/10009/1/0",0,160,0,"忍び寄る髭を4回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","살며시 다가오는 수염 [4회] 완료하기!",
166,4,166,"4/178/1+1/10010/1/0",165,,0,"異形の爪を7回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","이형의 손톱 [7회] 완료하기!",
167,4,167,"4/179/1+1/20013/1/0",166,,0,"忍び寄る髭を9回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","살며시 다가오는 수염 [9회] 완료하기!",
168,4,168,"3/27/1/0+1/10008/1/0",167,,0,"細く長い尾を12回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","가늘고 긴 꼬리 [12회] 완료하기!",
169,4,169,"3/39/1/0+1/20012/1/0",168,,0,"細く長い尾を18回クリア",0,,"2012-08-29 04:00:00 UTC","2012-09-12 03:00:00 UTC","가늘고 긴 꼬리 [18회] 완료하기!",
170,4,170,"2/126/1/0",0,,0,"Lv3ステイシアを入手する",333,,"2012-09-05 04:00:00 UTC","2012-09-19 03:00:00 UTC","3레벨의 [스테이시아] 획득하기!",
171,4,171,"3/38/1/0+2/19/1/2",0,,0,"鉄の鎖を5個集める",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC","철의 쇠사슬 [5개] 모으기!",
172,4,172,"3/27/1/0+2/23/1/2",171,,0,"鉄の鎖を15個集める",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC","철의 쇠사슬 [15개] 모으기!",
173,4,173,"3/27/1/0+2/4/1/2",172,,0,"鉄の鎖を30個集める",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC","철의 쇠사슬 [30개] 모으기!",
174,4,174,"3/27/1/0+2/13/1/2",173,,0,"鉄の鎖を50個集める",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC","철의 쇠사슬 [50개] 모으기!",
175,4,175,"3/27/1/0+3/39/1/0",174,,0,"鉄の鎖を100個集める",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC","철의 쇠사슬 [100개] 모으기!",
176,4,176,"3/28/1/0+2/34/1/2",0,,0,"白金の鎖を10個集める",0,,"2012-09-12 04:00:00 UTC","2012-09-26 03:00:00 UTC","백금의 쇠사슬 [10개] 모으기!",
177,4,177,"4/181/1+4/182/1",136,,0,"氷の悪魔を倒す",0,"「異端者の墓碑」をクリアする","2012-09-19 04:00:00 UTC",,"[얼음 악마] 퇴치하기!","[이단자의 묘비]를 클리어 하기"
178,4,178,"1/10009/10/0",0,,0,"一定期間内に氷の悪魔を倒す",0,,"2012-09-19 04:00:00 UTC","2012-09-22 05:00:00 UTC","일정 기간동안 [얼음 악마] 퇴치하기!",
179,4,179,"2/129/1/0",0,,0,"Lv3ヴォランドを入手する",345,,"2012-10-03 04:00:00 UTC","2012-10-17 05:00:00 UTC","3레벨의 [볼랜드] 획득하기!",
180,2,180,"1/1/1/0",1,,0,"夕刻の大蝙蝠を1回クリア",1,,"2012-10-03 04:00:00 UTC",,"석각의 큰박쥐 [1회] 완료하기!",
181,2,181,"1/21/1/0",180,,0,"夕刻の大蝙蝠をもう1回クリア",1,,"2012-10-03 04:00:00 UTC",,"석각의 큰박쥐 [1회] 완료하기!",
182,2,182,"1/31/1/0",181,,0,"夕刻の大蝙蝠を更に1回クリア",1,,"2012-10-03 04:00:00 UTC",,"석각의 큰박쥐 [1회] 완료하기!",
183,4,183,"3/38/1",0,,0,"イベントクエストを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","이벤트 퀘스트를 [5회] 완료하기!",
184,4,184,"1/10001/1/0",183,"185+186",0,"レッドキャンディクエストを3回クリア ",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","레드캔디 퀘스트를 [3회] 완료하기!",
185,4,185,"1/10001/1/0",183,"184+186",0,"イエローキャンディクエストを3回クリア ",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","옐로캔디 퀘스트를 [3회] 완료하기!",
186,4,186,"1/10001/1/0",183,"184+185",0,"ブルーキャンディクエストを3回クリア ",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","블루캔디 퀘스트를 [3회] 완료하기!",
187,4,187,"1/10006/1/0",184,"190+193+196+199",0,"帝國騎士の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","제국기사의 마음 [5회] 완료하기!",
188,4,188,"1/10006/1/0",187,,0,"帝國騎士の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","제국기사의 마음 [10회] 완료하기!",
189,4,189,"1/6/1/0",188,,0,"帝國騎士の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","제국기사의 마음 [15회] 완료하기!",
190,4,190,"1/10007/1/0",184,"187+193+196+199",0,"軍犬の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","군견의 마음 [5회] 완료하기!",
191,4,191,"1/10007/1/0",190,,0,"軍犬の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","군견의 마음 [10회] 완료하기!",
192,4,192,"1/16/1/0",191,,0,"軍犬の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","군견의 마음 [15회] 완료하기!",
193,4,193,"1/10008/1/0",184,"187+190+196+199",0,"黒太子の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","흑태자의 마음 [5회] 완료하기!",
194,4,194,"1/10008/1/0",193,,0,"黒太子の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","흑태자의 마음 [10회] 완료하기!",
195,4,195,"1/26/1/0",194,,0,"黒太子の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","흑태자의 마음 [15회] 완료하기!",
196,4,196,"1/10009/1/0",184,"187+190+193+199",0,"剣聖の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","검성의 마음 [5회] 완료하기!",
197,4,197,"1/10009/1/0",196,,0,"剣聖の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","검성의 마음 [10회] 완료하기!",
198,4,198,"1/36/1/0",197,,0,"剣聖の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","검성의 마음 [15회] 완료하기!",
199,4,199,"1/10010/1/0",184,"187+190+193+196",0,"嵐の乗り手の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","폭풍 조종자의 마음 [5회] 완료하기!",
200,4,200,"1/10010/1/0",199,,0,"嵐の乗り手の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","폭풍 조종자의 마음 [10회] 완료하기!",
201,4,201,"1/46/1/0",200,,0,"嵐の乗り手の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","폭풍 조종자의 마음 [15회] 완료하기!",
202,4,202,"1/10006/1/0",185,"205+208+211+214",0,"混沌の守人の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","혼돈 수인의 마음 [5회] 완료하기!",
203,4,203,"1/10006/1/0",202,,0,"混沌の守人の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","혼돈 수인의 마음 [5회] 완료하기!",
204,4,204,"1/56/1/0",203,,0,"混沌の守人の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","혼돈 수인의 마음 [5회] 완료하기!",
205,4,205,"1/10007/1/0",185,"202+208+211+214",0,"幼き王の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","어린 왕의 마음 [5회] 완료하기!",
206,4,206,"1/10007/1/0",205,,0,"幼き王の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","어린 왕의 마음 [10회] 완료하기!",
207,4,207,"1/66/1/0",206,,0,"幼き王の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","어린 왕의 마음 [15회] 완료하기!",
208,4,208,"1/10008/1/0",185,"202+205+211+214",0,"探求者の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","탐구자의 마음 [5회] 완료하기!",
209,4,209,"1/10008/1/0",208,,0,"探求者の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","탐구자의 마음 [10회] 완료하기!",
210,4,210,"1/76/1/0",209,,0,"探求者の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","탐구자의 마음 [15회] 완료하기!",
211,4,211,"1/10009/1/0",185,"202+205+208+214",0,"仮面の男の想いを5回クリア",0,,"2022-10-24 04:00:00 UTC","2012-10-31 03:00:00 UTC","가면 남자의 마음 [5회] 완료하기!",
212,4,212,"1/10009/1/0",211,,0,"仮面の男の想いを+10回クリア",0,,"2022-10-24 04:00:00 UTC","2012-10-31 03:00:00 UTC","가면 남자의 마음 [10회] 완료하기!",
213,4,213,"1/86/1/0",212,,0,"仮面の男の想いを+15回クリア",0,,"2022-10-24 04:00:00 UTC","2012-10-31 03:00:00 UTC","가면 남자의 마음 [15회] 완료하기!",
214,4,214,"1/10010/1/0",185,"202+205+208+211",0,"裁きを下す者の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","심판을 내리는 자의 마음 [5회] 완료하기!",
215,4,215,"1/10010/1/0",214,,0,"裁きを下す者の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","심판을 내리는 자의 마음 [10회] 완료하기!",
216,4,216,"1/96/1/0",215,,0,"裁きを下す者の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","심판을 내리는 자의 마음 [15회] 완료하기!",
217,4,217,"1/10006/1/0",186,"220+223+226+229",0,"不死の少女の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","불사 소녀의 마음 [5회] 완료하기!",
218,4,218,"1/10006/1/0",217,,0,"不死の少女の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","불사 소녀의 마음 [10회] 완료하기!",
219,4,219,"1/106/1/0",218,,0,"不死の少女の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","불사 소녀의 마음 [15회] 완료하기!",
220,4,220,"1/10007/1/0",186,"217+223+226+229",0,"獣人の娘の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","수인 딸의 마음 [5회] 완료하기!",
221,4,221,"1/10007/1/0",220,,0,"獣人の娘の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","수인 딸의 마음 [10회] 완료하기!",
222,4,222,"1/116/1/0",221,,0,"獣人の娘の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","수인 딸의 마음 [15회] 완료하기!",
223,4,223,"1/10008/1/0",186,"217+220+226+229",0,"混沌の担い手の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","혼돈 추종자의 마음 [5회] 완료하기!",
224,4,224,"1/10008/1/0",223,,0,"混沌の担い手の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","혼돈 추종자의 마음 [10회] 완료하기!",
225,4,225,"1/126/1/0",224,,0,"混沌の担い手の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","혼돈 추종자의 마음 [15회] 완료하기!",
226,4,226,"1/10009/1/0",186,"217+220+223+229",0,"二刀流の剣士の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","이도류 검객의 마음 [5회] 완료하기!",
227,4,227,"1/10009/1/0",226,,0,"二刀流の剣士の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","이도류 검객의 마음 [10회] 완료하기!",
228,4,228,"1/136/1/0",227,,0,"二刀流の剣士の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","이도류 검객의 마음 [15회] 완료하기!",
229,4,229,"1/10010/1/0",186,"217+220+223+226",0,"工学師の尖兵の想いを5回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","공학사 첨병의 마음 [5회] 완료하기!",
230,4,230,"1/10010/1/0",229,,0,"工学師の尖兵の想いを+10回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","공학사 첨병의 마음 [10회] 완료하기!",
231,4,231,"1/146/1/0",230,,0,"工学師の尖兵の想いを+15回クリア",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","공학사 첨병의 마음 [15회] 완료하기!",
232,4,232,"3/9/1/0+4/185/1",0,,0,"パンプキングを1回倒す",0,,"2012-10-17 04:00:00 UTC","2012-10-31 03:00:00 UTC","펌프킨 [1회] 퇴치하기!",
